content_id,category,format_i,format_j,preference_logit,p_ij,mode
bs001,bodily_state,clinical,direct,-0.80520328118503,0.30891358852386475,b
bs001,bodily_state,clinical,data,1.3699147505848455,0.7973663806915283,b
bs001,bodily_state,clinical,code,-3.8721036920932366,0.02039012499153614,b
bs001,bodily_state,clinical,fiction,6.0472933719700865,0.9976413249969482,b
bs001,bodily_state,direct,data,1.697064454005594,0.8451509475708008,b
bs001,bodily_state,direct,code,-1.860854489500444,0.13460348546504974,b
bs001,bodily_state,direct,fiction,7.118146870653113,0.9991903901100159,b
bs001,bodily_state,data,code,-3.020021761189516,0.046529509127140045,b
bs001,bodily_state,data,fiction,5.414295048979971,0.995567262172699,b
bs001,bodily_state,code,fiction,6.505128525295231,0.998506486415863,b
bs002,bodily_state,clinical,direct,-4.665141149726979,0.00933004915714264,b
bs002,bodily_state,clinical,data,-3.5376239440957717,0.02826046571135521,b
bs002,bodily_state,clinical,code,-0.8226770653538957,0.305195689201355,b
bs002,bodily_state,clinical,fiction,1.184641560953409,0.7657813429832458,b
bs002,bodily_state,direct,data,-1.0670588144704083,0.2559628188610077,b
bs002,bodily_state,direct,code,3.355614454400926,0.9662882089614868,b
bs002,bodily_state,direct,fiction,2.2457338887852893,0.9042819142341614,b
bs002,bodily_state,data,code,4.6438665399661865,0.9904712438583374,b
bs002,bodily_state,data,fiction,5.859745855983861,0.9971561431884766,b
bs002,bodily_state,code,fiction,0.556387139378216,0.6356161832809448,b
bs003,bodily_state,clinical,direct,-0.26334111547676825,0.43454256653785706,b
bs003,bodily_state,clinical,data,-3.795057105970737,0.02198731154203415,b
bs003,bodily_state,clinical,code,2.65812278449857,0.9345098733901978,b
bs003,bodily_state,clinical,fiction,-8.251782447512024,0.0002607252972666174,b
bs003,bodily_state,direct,data,0.7477783782071775,0.6786944270133972,b
bs003,bodily_state,direct,code,6.633375626174358,0.9986860156059265,b
bs003,bodily_state,direct,fiction,-8.986308161515728,0.00012509548105299473,b
