content_id,category,format_i,format_j,preference_logit,p_ij,mode
bs001,bodily_state,clinical,direct,0.8429617712809608,0.6990886330604553,a
bs001,bodily_state,clinical,data,0.8429617712809608,0.6990886330604553,a
bs001,bodily_state,clinical,code,0.8429617712809608,0.6990886330604553,a
bs001,bodily_state,clinical,fiction,0.8429617712809608,0.6990886330604553,a
bs001,bodily_state,direct,data,-0.04313816104615917,0.4892171323299408,a
bs001,bodily_state,direct,code,-0.04313816104615917,0.4892171323299408,a
bs001,bodily_state,direct,fiction,-0.04313816104615917,0.4892171323299408,a
bs001,bodily_state,data,code,0.4066671282108819,0.600288450717926,a
bs001,bodily_state,data,fiction,0.4066671282108819,0.600288450717926,a
bs001,bodily_state,code,fiction,0.2562542376528183,0.5637152791023254,a
bs002,bodily_state,clinical,direct,0.5756328801922548,0.6400619149208069,a
bs002,bodily_state,clinical,data,0.5756328801922548,0.6400619149208069,a
bs002,bodily_state,clinical,code,0.5756328801922548,0.6400619149208069,a
bs002,bodily_state,clinical,fiction,0.5756328801922548,0.6400619149208069,a
bs002,bodily_state,direct,data,0.610401945327762,0.6480324864387512,a
bs002,bodily_state,direct,code,0.610401945327762,0.6480324864387512,a
bs002,bodily_state,direct,fiction,0.610401945327762,0.6480324864387512,a
bs002,bodily_state,data,code,0.4526136519390493,0.6112604737281799,a
bs002,bodily_state,data,fiction,0.4526136519390493,0.6112604737281799,a
bs002,bodily_state,code,fiction,0.7256075534272046,0.6738406419754028,a
bs003,bodily_state,clinical,direct,-0.09790592618879644,0.4755430519580841,a
bs003,bodily_state,clinical,data,-0.09790592618879644,0.4755430519580841,a
bs003,bodily_state,clinical,code,-0.09790592618879644,0.4755430519580841,a
bs003,bodily_state,clinical,fiction,-0.09790592618879644,0.4755430519580841,a
bs003,bodily_state,direct,data,0.11943330915529486,0.5298228859901428,a
bs003,bodily_state,direct,code,0.11943330915529486,0.5298228859901428,a
bs003,bodily_state,direct,fiction,0.11943330915529486,0.5298228859901428,a
bs003,bodily_state,data,code,0.38488371513129516,0.5950504541397095,a
bs003,bodily_state,data,fiction,0.38488371513129516,0.5950504541397095,a
bs003,bodily_state,code,fiction,-0.06474252238201894,0.48382002115249634,a
bs004,bodily_state,clinical,direct,0.31557227700043794,0.5782448053359985,a
bs004,bodily_state,clinical,data,0.31557227700043794,0.5782448053359985,a
bs004,bodily_state,clinical,code,0.31557227700043794,0.5782448053359985,a
bs004,bodily_state,clinical,fiction,0.31557227700043794,0.5782448053359985,a
bs004,bodily_state,direct,data,0.36123949538786626,0.5893404483795166,a
bs004,bodily_state,direct,code,0.36123949538786626,0.5893404483795166,a
bs004,bodily_state,direct,fiction,0.36123949538786626,0.5893404483795166,a
bs004,bodily_state,data,code,0.1335748487168296,0.5333441495895386,a
bs004,bodily_state,data,fiction,0.1335748487168296,0.5333441495895386,a
bs004,bodily_state,code,fiction,0.16186125754144076,0.5403771996498108,a
bs005,bodily_state,clinical,direct,0.6542998661349585,0.6579787731170654,a
bs005,bodily_state,clinical,data,0.6542998661349585,0.6579787731170654,a
bs005,bodily_state,clinical,code,0.6542998661349585,0.6579787731170654,a
bs005,bodily_state,clinical,fiction,0.6542998661349585,0.6579787731170654,a
bs005,bodily_state,direct,data,0.9379187835296785,0.7186790704727173,a
bs005,bodily_state,direct,code,0.9379187835296785,0.7186790704727173,a
bs005,bodily_state,direct,fiction,0.9379187835296785,0.7186790704727173,a
bs005,bodily_state,data,code,0.8957643510355774,0.7100782990455627,a
bs005,bodily_state,data,fiction,0.8957643510355774,0.7100782990455627,a
bs005,bodily_state,code,fiction,0.6888247778592415,0.6657054424285889,a
bs006,bodily_state,clinical,direct,-0.30675484604194664,0.4239070415496826,a
bs006,bodily_state,clinical,data,-0.30675484604194664,0.4239070415496826,a
bs006,bodily_state,clinical,code,-0.30675484604194664,0.4239070415496826,a
bs006,bodily_state,clinical,fiction,-0.30675484604194664,0.4239070415496826,a
bs006,bodily_state,direct,data,-0.2396442713760801,0.4403740167617798,a
bs006,bodily_state,direct,code,-0.2396442713760801,0.4403740167617798,a
bs006,bodily_state,direct,fiction,-0.2396442713760801,0.4403740167617798,a
bs006,bodily_state,data,code,0.044866455278935936,0.5112147331237793,a
bs006,bodily_state,data,fiction,0.044866455278935936,0.5112147331237793,a
bs006,bodily_state,code,fiction,-0.412768415154684,0.39824849367141724,a
bs007,bodily_state,clinical,direct,0.09158450757575666,0.5228801369667053,a
bs007,bodily_state,clinical,data,0.09158450757575666,0.5228801369667053,a
bs007,bodily_state,clinical,code,0.09158450757575666,0.5228801369667053,a
bs007,bodily_state,clinical,fiction,0.09158450757575666,0.5228801369667053,a
bs007,bodily_state,direct,data,-0.03948927605859833,0.4901289641857147,a
bs007,bodily_state,direct,code,-0.03948927605859833,0.4901289641857147,a
bs007,bodily_state,direct,fiction,-0.03948927605859833,0.4901289641857147,a
bs007,bodily_state,data,code,-0.0022020368841797738,0.4994494915008545,a
bs007,bodily_state,data,fiction,-0.0022020368841797738,0.4994494915008545,a
bs007,bodily_state,code,fiction,0.17204443417127036,0.542905330657959,a
bs008,bodily_state,clinical,direct,0.01243869405276664,0.5031096339225769,a
bs008,bodily_state,clinical,data,0.01243869405276664,0.5031096339225769,a
bs008,bodily_state,clinical,code,0.01243869405276664,0.5031096339225769,a
bs008,bodily_state,clinical,fiction,0.01243869405276664,0.5031096339225769,a
bs008,bodily_state,direct,data,0.1273473919481283,0.5317938923835754,a
